,Time,User,Tweet
0,2022-09-29 22:05:00+00:00,PlayStation,"Terrifying secrets are locked up within Black Iron Prison.

The Callisto Protocol hits December 2. Watch the latest… https://t.co/aEKb3a7uHp"
1,2022-09-29 16:15:09+00:00,PlayStation,"Sackboy: A Big Adventure  is coming to PC on October 27. Find out more details on its features and enhancements, as… https://t.co/u57romp01g"
2,2022-09-29 03:39:00+00:00,PlayStation,"Get behind the wheel of the world’s smallest vehicles, perform superhuman feats of strength and manipulate time to… https://t.co/HWIw1yTXAi"
3,2022-09-29 01:15:00+00:00,PlayStation,"📺The first ever Street Fighter V Fight Nights Invitational is just getting started!
🥊 Jump into the stream and find… https://t.co/VtLzgmgaa0"
4,2022-09-28 21:45:38+00:00,PlayStation,"RT @PlayDestruction: You've had time to Rise and Unite, so now is the time to Survive!

Destruction AllStar's latest in-game event is now L…"
5,2022-09-28 20:00:17+00:00,PlayStation,"PlayStation Stars launches today in Asia!

Find out when the new loyalty program launches in your region:… https://t.co/MxOug0PiCA"
6,2022-09-28 16:31:13+00:00,PlayStation,A Plague Tale: Requiem leverages PS5 tech to make Amicia and Hugo’s new journey all the more immersive. Find out ho… https://t.co/E08SUsN1CY
7,2022-09-28 16:30:00+00:00,PlayStation,The best offense is... delivering a devastating parry to a mythical behemoth using Kratos' shield. #GodOfWarRagnarok https://t.co/4iQP28NLfZ
8,2022-09-28 15:30:15+00:00,PlayStation,"Your PlayStation Plus Monthly Games for October are: 

➕ Hot Wheels Unleashed 
➕ Injustice 2
➕ Superhot 

Full deta… https://t.co/VcA0mibR6m"
9,2022-09-28 14:30:00+00:00,PlayStation,"""You will become a force of nature, and tame a world gone wild.""

Your first look at Wild Hearts from EA and Koei T… https://t.co/1h5H4BW1eM"
10,2022-09-28 14:00:28+00:00,PlayStation,"Gran Turismo 7 players are getting three new cars to add to their collection: 

🔴 Porsche Vision GT Spyder
🟠 Volksw… https://t.co/gwdP4EmBwf"
11,2022-09-28 13:00:31+00:00,PlayStation,"Stockpile is back with a twist in Destruction AllStars’ brand new event, unleashing into the arena today. Details o… https://t.co/bJhKQxUzvu"
12,2022-09-28 01:15:00+00:00,PlayStation,📺 The top 8 of the Dragon Ball FighterZ Fight Nights Invitational is live! Tune into the stream and watch as North… https://t.co/e2pE0rpJSt
13,2022-09-28 00:59:42+00:00,slingingbananas,RT @lilpump: ICARLY IM TRYNNA FUCK SO I MADE U A CAKE ☠️👅👅ESSKEETIT https://t.co/KJj5MeHnQY
14,2022-09-28 00:02:00+00:00,PlayStation,Discover out of this world deals in PlayStation Store’s Planet of the Discounts promotion. Browse the full list of… https://t.co/bGjzhObSUf
15,2022-09-27 22:35:12+00:00,PlayStation,"RT @EAFIFAesports: #FGS23 will be the most 🔥 competitive year yet! 

Are you ready to lift the EA SPORTS Cup trophy? 👀 ➡️ https://t.co/DByS…"
16,2022-09-27 21:58:52+00:00,PlayStation,"RT @CallofDuty: Thank you #CallOfDuty players! Together you’ve made the #ModernWarfare2 Beta the biggest Call of Duty Beta ever 💚

And we’r…"
17,2022-09-27 18:00:01+00:00,PlayStation,Almost time to squad up and save the world. Overwatch 2 launches in one week. https://t.co/w801PzgXhp
18,2022-09-27 17:47:20+00:00,PlayStation,"RT @farmingsim: Let's get pumped!
Get new gameplay features with the Pumps N' Hoses Pack and support @CreativeMesh!
https://t.co/mgwsqi2cNz"
19,2022-09-27 16:11:35+00:00,PlayStation,RT @RominaTempest: Excited to share my portrait of the Heroes of Midgard for the God of War Ragnarök Family Portrait series! Created in col…
